Ranking,Institution,Year
1,"Massachusetts Institute of Technology, MIT",2015
2,Imperial College London,2015
2,University of Cambridge,2015
4,Harvard University,2015
5,University College London,2015
5,University of Oxford,2015
7,Stanford University,2015
8,"California Institute of Technology, Caltech",2015
9,Princeton University,2015
10,Yale University,2015
11,University of Chicago,2015
12,"Swiss Federal Institute of Technology Zurich, ETHZ",2015
13,University of Pennsylvania,2015
14,Johns Hopkins University,2015
14,Columbia University,2015
16,King’s College London,2015
17,"Swiss Federal Institute of Technology Lausanne, EPFL",2015
17,University of Edinburgh,2015
19,Cornell University,2015
20,University of Toronto,2015
21,McGill University,2015
22,National University of Singapore,2015
23,University of Michigan - Ann Arbor,2015
24,Ecole Normale Supérieure de Paris,2015
25,Australian National University,2015
25,Duke University,2015
27,"University of California, Berkeley",2015
28,University of Hong Kong,2015
29,University of Bristol,2015
30,University of Manchester,2015
31,The University of Tokyo,2015
31,Seoul National University,2015
33,University of Melbourne,2015
34,Northwestern University,2015
35,Ecole Polytechnique,2015
36,Kyoto University,2015
37,University of Sydney,2015
37,"University of California, Los Angeles",2015
39,Nanyang Technological University,2015
40,Hong Kong University of Science and Technology,2015
41,New York University,2015
41,University of Wisconsin-Madison,2015
43,University of Queensland,2015
43,University of British Columbia,2015
45,University of Copenhagen,2015
46,Chinese University of Hong Kong,2015
47,Tsinghua University,2015
48,University of New South Wales,2015
49,University of Heidelberg,2015
50,University of Amsterdam,2015
51,Korea Advanced Institute of Science and Technology,2015
52,University of München,2015
52,Brown University,2015
54,Technical University of München,2015
55,Osaka University,2015
55,University of Glasgow,2015
57,Peking University,2015
57,University of Zurich,2015
59,"University of California, San Diego",2015
60,Lund University,2015
61,University of Warwick,2015
62,University of North Carolina at Chapel Hill,2015
63,University of Illinois at Urbana-Champaign,2015
64,University of Birmingham,2015
65,Carnegie Mellon University,2015
65,University of Washington,2015
67,University of Helsinki,2015
68,Tokyo Institute of Technology,2015
69,University of Sheffield,2015
70,Monash University,2015
71,Fudan University,2015
71,Trinity College Dublin,2015
71,Tohoku University,2015
71,London School of Economics,2015
75,University of Leiden,2015
76,National Taiwan University,2015
77,University of Nottingham,2015
78,Boston University,2015
79,University of Texas at Austin,2015
80,Utrecht University,2015
81,Uppsala University,2015
82,Catholic University of Leuven,2015
83,University of Montreal,2015
84,University of Alberta,2015
85,University of Geneva,2015
86,Pohang University of Science and Technology,2015
86,Delft University of Technology,2015
88,University of St. Andrews,2015
89,University of Western Australia,2015
90,Erasmus University Rotterdam,2015
90,University of Groningen,2015
92,University of Auckland,2015
92,University of Durham,2015
94,University of Southampton,2015
95,"University of California, Davis",2015
96,Aarhus University,2015
97,University of Leeds,2015
98,"Queen Mary, University of London",2015
99,Washington University in St. Louis,2015
100,University of Adelaide,2015
101,University of Oslo,2015
102,Purdue University,2015
103,Nagoya University,2015
104,Shanghai Jiao Tong University,2015
105,University of Lausanne,2015
106,Yonsei University,2015
107,Georgia Institute of Technology,2015
108,City University of Hong Kong,2015
109,Ohio State University,2015
110,KTH - Royal Institute of Technology,2015
111,University of Pittsburgh,2015
112,Pennsylvania State University,2015
113,McMaster University,2015
114,Moscow State University,2015
115,University Pierre et Marie Curie (Paris VI),2015
116,University of Basel,2015
116,Korea University,2015
118,University of Maastricht,2015
119,University of Minnesota - Twin Cities,2015
120,University of York,2015
121,University of Freiburg,2015
122,University of Maryland at College Park,2015
123,Technical University of Denmark,2015
123,Cardiff University,2015
123,University of Liverpool,2015
126,Kyushu University,2015
127,"Newcastle University, Newcastle-upon-Tyne",2015
127,Karlsruhe Institute of Technology,2015
129,University of Gent,2015
129,Rice University,2015
131,University of Southern California,2015
132,University of Sao Paulo,2015
132,"University of California, Santa Barbara",2015
134,Humboldt University of Berlin,2015
135,Hokkaido University,2015
136,Dartmouth College,2015
137,University of Aberdeen,2015
138,Hebrew University of Jerusalem,2015
139,University College Dublin,2015
140,Sungkyunkwan University,2015
141,University of Tübingen,2015
141,University of Cape Town,2015
141,University of Virginia,2015
144,Zhejiang University,2015
145,University of Bern,2015
